Name,Quantity
Aralia Wood,8
Blue Dye,4
Yellow Dye,6
Blue Dye,6
Maple Wood,12
Maple Wood,12
Blue Dye,6
Yellow Dye,6
Aralia Wood,8
Blue Dye,4
Aralia Wood,12
Otogi Wood,8
White Iron Chunk,4
Maple Wood,8
Fabric,4
Blue Dye,4
Aralia Wood,12
Aralia Wood,8
Aralia Wood,8
White Iron Chunk,12
Aralia Wood,12
Otogi Wood,4
Fabric,2
Otogi Wood,4
Iron Chunk,2
Otogi Wood,4
Otogi Wood,6
Yellow Dye,4
Blue Dye,4
Otogi Wood,8
Otogi Wood,12
Yellow Dye,6
Otogi Wood,12
Yellow Dye,6
Otogi Wood,8
Yumemiru Wood,16
Red Dye,6
Yumemiru Wood,8
White Iron Chunk,4
White Iron Chunk,4
White Iron Chunk,4
White Iron Chunk,8
Yumemiru Wood,12
Red Dye,6
Yumemiru Wood,12
Red Dye,6
White Iron Chunk,8
Yumemiru Wood,8
Red Dye,4
Otogi Wood,4
Otogi Wood,8
Iron Chunk,4
Fabric,8
Red Dye,4
Blue Dye,4
Otogi Wood,8
Otogi Wood,6
White Iron Chunk,6
Blue Dye,6
Aralia Wood,8
White Iron Chunk,4
Otogi Wood,12
Iron Chunk,6
Otogi Wood,24
Iron Chunk,6
Otogi Wood,12
Otogi Wood,8
Otogi Wood,8
Otogi Wood,8
Otogi Wood,4
Fabric,2
Otogi Wood,6
Fabric,6
Blue Dye,6
Otogi Wood,6
Fabric,6
Blue Dye,6
Otogi Wood,12
Blue Dye,6
Otogi Wood,4
Otogi Wood,4
Otogi Wood,4
Otogi Wood,12
Blue Dye,3
Yellow Dye,3
Otogi Wood,4
Fabric,2
