Name,Quantity
Yumemiru Wood,6
Fabric,6
Blue Dye,6
Maple Wood,4
Fabric,4
Red Dye,4
White Iron Chunk,8
Iron Chunk,6
Red Dye,6
Yumemiru Wood,12
Fabric,16
Maple Wood,4
Fabric,4
Yellow Dye,4
Fabric,8
Yumemiru Wood,24
Fabric,24
Yellow Dye,24
Maple Wood,4
Fabric,4
Yellow Dye,4
Aralia Wood,4
White Iron Chunk,4
Blue Dye,4
Aralia Wood,8
White Iron Chunk,8
Blue Dye,8
Maple Wood,12
Aralia Wood,4
Yellow Dye,4
Red Dye,4
Maple Wood,4
Iron Chunk,4
Maple Wood,4
Fabric,4
Red Dye,4
Maple Wood,12
Aralia Wood,8
White Iron Chunk,8
Maple Wood,4
Iron Chunk,4
Aralia Wood,6
Fabric,6
