areaid,area,electric
1,hokkaido,1
2,aomori,2
3,iwate,2
4,miyagi,2
5,akita,2
6,yamagata,2
7,fukushima,2
8,ibaraki,3
9,tochigi,3
10,gumma,3
11,saitama,3
12,chiba,3
13,tokyo,3
14,kanagawa,3
15,niigata,2
16,toyama,4
17,ishikawa,4
18,fukui,4
19,yamanashi,3
20,nagano,3
21,gifu,5
22,shizuoka,5
23,aichi,5
24,mie,5
25,shiga,6
26,kyoto,6
27,osaka,6
28,hyogo,6
29,nara,6
30,wakayama,6
31,tottori,7
32,shimane,7
33,okayama,7
34,hiroshima,7
35,yamaguchi,7
36,tokushima,8
37,kagawa,8
38,ehime,8
39,kochi,8
40,fukuoka,9
41,saga,9
42,nagasaki,9
43,kumamoto,9
44,oita,9
45,miyazaki,9
46,kagoshima,9
47,okinawa,10
